[22/1/2025, 16:20:37] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error al obtener la geolocalización: read ECONNRESET
[22/1/2025, 16:45:19] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros_apartados": arr is not defined
[23/1/2025, 22:26:43] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/cambiar_estado_numeros": Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ', '37778', '35188', '8489', '78948'' at line 1
[26/1/2025, 15:49:59] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": TypeError: Cannot read properties of undefined (reading 'length')
[26/1/2025, 15:55:51] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": TypeError: Cannot read properties of undefined (reading 'length')
[26/1/2025, 15:56:37] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": TypeError: Cannot read properties of undefined (reading 'length')
[26/1/2025, 17:19:10] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": TypeError: Cannot read properties of undefined (reading 'length')
[26/1/2025, 17:19:25] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": TypeError: Cannot read properties of undefined (reading 'length')
[26/1/2025, 17:20:54] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/pagar_numeros_reservados": ReferenceError: receivedArray_ticketsPagados_NUMERO is not defined
[26/1/2025, 21:40:06] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error al obtener la geolocalización: getaddrinfo ENOTFOUND ipinfo.io
[26/1/2025, 22:50:22] | IP: 127.0.0.1, OS: Windows 10, BROWSER: Chrome 131.0.0.0, DEVICE: undefined, ENGINE: Blink 131.0.0.0, CPU: amd64 | ACTION: Error en la API "/api/numeros/eliminar_numeros_apartados": Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE id_boleto IN (88523)' at line 1
